recipe_id,recipe_ingredient
7028218,"['소고기다짐육', '감자', '양파', '다진마늘', '호박', '청양고추', '홍고추', '된장', '건표고버섯 넉넉히', '들기름', '대파 넉넉히']"
7028217,"['머위대', '국간장', '멸치액젓', '고운소금', '식용유', '다진마늘', '멸치다시마육수', '다진파', '들기름', '깨', '물', '들깨가루', '찹쌀가루']"
7028216,"['둥지냉면', '진간장', '참기름']"
7028215,"['부추', '양파', '고추가루', '참깨', '꽃게액젓', '배즙 음료', '양파', '마늘', '생강', '새우젓', '매실청']"
7028214,"['삼겹살', '팽이버섯', '오일', '청양고추', '물', '양조간장', '올리고당', '맛술']"
7028213,"['만두', '물', '식용유', '간장', '식초', '고춧가루 약간']"
7028212,"['마른김', '스팸', '밥', '참기름 약간', '깨 약간']"
7028211,"['컬리플라워', '두부', '새우', '파프리카', '계란']"
7028210,"['닭봉', '튀김가루', '식용유', '간장', '굴소스', '설탕', '물엿', '맛술', '다진마늘', '물', '소금', '후추']"
7028209,"['닭안심살', '애호박', '파프리카', '양배추', '자색양배추', '두부', '냉동새우', '소금', '간장', '참기름', '통깨']"
7028208,"['산딸기', '담금주', '설탕', '식초']"
7028207,"['마른미역', '크래미', '오이', '무', '식초', '매실청', '소금', '설탕', '마늘', '연겨자', '통깨']"
7028206,"['꽈리고추', '마늘', '설탕', '만능간장', '고추장', '올리고당', '식용유', '물', '참기름', '깨']"
7028205,"['밀떡', '어묵', '고추장', '설탕', '고춧가루', '카레가루', '다시다', '후추', '간장', '올리고당', '마늘', '물', '소세지']"
7028204,"['계란', '모닝빵', '마요네즈', '설탕', '소금', '후추', '소금']"
7028203,"['계란', '양배추', '소금', '슬라이스치즈', '소시지']"
7028202,"['쌀국수면', '양상추', '당근', '아보카도', '치킨까스', '소불고기 (양념소고기)', '라이스페이퍼', '월남쌈소스']"
7028201,"['대파', '계란', '소금', '고춧가루', '간장', '후추', '물']"
7028200,"['닭가슴살', '계란', '상추', '밥', '고추장', '참기름', '김가루']"
7028199,"['애호박', '달걀', '전분', '빵가루', '식용유 약간', '소금', '후추', '파마산치즈가루 약간', '파슬리가루 약간']"
7028198,"['가지', '다진파', '다진마늘', '국간장', '고춧가루', '매실청', '참기름', '깨소금 약간']"
7028197,"['애호박', '부침가루', '계란', '식용유 넉넉히', '진간장', '다진마늘', '쪽파', '참기름', '통깨', '고춧가루 약간']"
7028196,"['마늘종', '건새우', '범일 진간장', '올리고당', '굴소스', '물', '참기름', '통깨']"
7028195,"['동태', '무우', '물', '코인육수', '애호박', '대파', '콩나물', '된장', '고춧가루', '다진마늘', '국간장', '연두', '후추 조금']"
7028194,"['사각어묵', '당근', '대파', '계란', '굴소스', '소금', '후추 조금', '식용유 넉넉히']"
7028193,"['LA갈비', '배', '양파', '생강', '마늘', '간장', '맛술', '매실청', '설탕', '후추 약간']"
7028192,"['삼겹살', '신김치', '대파', '밥', '고춧가루', '굴소스', '깨소금', '참기름', '가는소금', '후추 조금']"
7028191,"['오이', '두부', '간장', '설탕', '참기름']"
7028190,"['컵누들', '초콜릿바', '초코펜', '아이스크림']"
7028189,"['명란젓', '오이', '마요네즈']"
7028188,"['붉닭 볶음면', '계란', '참기름']"
7028187,"['대패삼겹살', '양파', '상추 적당히', '다진마늘', '간장', '설탕', '고춧가루', '깨 적당히']"
7028186,"['양파', '메추리알', '청고추', '간장', '물', '식초', '설탕']"
7028185,"['오이', '피클링스파이스', '월계수잎', '소금', '설탕', '식초', '물']"
7028184,"['상추', '애호박', '당근', '부침가루', '물', '참기름', '진간장']"
7028183,"['계란', '물', '참치액', '참기름']"
7028182,"['두부', '멸치다시육수', '양파', '풋고추', '대파', '국간장', '새우젓', '다진마늘', '고춧가루', '맛술', '들기름']"
7028181,"['팽이버섯', '베이컨', '식용유', '맛소금', '후추 톡톡', '통깨']"
7028180,"['닭정육', '당면', '당근 조금', '양파', '물', '간장', '굴소스', '설탕', '다진마늘', '올리고당', '후추 조금', '참기름', '깨 조금']"
7028179,"['돼지고기앞다리살', '당근', '양파', '대파', '청양고추', '물', '올리브오일', '참기름', '후추 톡톡톡', '통깨 솔솔솔', '고추장', '고춧가루', '진간장', '매실청', '올리고당', '다진마늘']"
7028178,"['두부', '애호박', '새우젓', '멸치액젓', '코인육수', '다진마늘', '파', '고춧가루', '참기름', '물']"
7028177,"['둥지 비빔냉면', '오징어', '무우 조금', '오이 조금', '청양고추', '홍고추', '양파', '삶은계란', '다진마늘', '고추가루', '소금', '식초', '설탕', '참기름', '깨소금']"
7028176,"['참치', '된장', '대파', '마늘', '홍고추', '청고추', '들기름', '맛술', '물엿', '후추 톡톡', '통깨']"
7028175,"['상추', '계란', '소금', '후추 톡톡', '식용유']"
7028173,"['청경채', '대패삼겹살', '마늘', '대파', '양파', '당근 약간', '식용유', '후춧가루 약간', '통깨 약간', '굴소스', '진간장', '설탕', '참기름']"
7028172,"['깻잎', '두부', '전분', '대파', '당근', '다진마늘', '소금', '후추', '간장', '식초', '설탕', '다진마늘', '고춧가루']"
